Literature,Specimen ID,Country,Specimen Type,Specimen Age (days),Rebar Present,UPV Device Brand & Model,Transducer Diameter (mm),Transducer Frequency (kHz),Standard,Test Type,No. Tests,"Average Velocity, Vp (m/s)",Compression Specimen,Height (mm),Width/Diameter (mm),Max Aggregate Size (mm),W/C Ratio,Strength Class,"Design Strength, fck (MPa)","fc,core (MPa)","fc,ref (MPa)","fc,cyl (MPa)",Notes,
Cianfrone & Facaoaru (1979),C17_27c,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5300,Cube,150.0,150.0,30,,,,68.84,68.84,57.74,,
Cianfrone & Facaoaru (1979),C18_65,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5170,Cube,150.0,150.0,30,,,,65.41,65.41,54.31,,
Cianfrone & Facaoaru (1979),C19_41,Italy,Cube - Laboratory,7,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4880,Cube,150.0,150.0,30,,,,28.34,28.34,23.52,,
Cianfrone & Facaoaru (1979),C20_128,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5050,Cube,150.0,150.0,30,,,,62.76,62.76,52.09,,
Cianfrone & Facaoaru (1979),C21_123,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5200,Cube,150.0,150.0,30,,,,65.80,65.80,54.70,,
Cianfrone & Facaoaru (1979),C22_131,Italy,Cube - Laboratory,30,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5300,Cube,150.0,150.0,30,,,,64.72,64.72,53.72,,
Cianfrone & Facaoaru (1979),C23_-,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5220,Cube,150.0,150.0,30,,,,58.35,58.35,48.43,,
Cianfrone & Facaoaru (1979),C24_88,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5390,Cube,150.0,150.0,30,,,,60.80,60.80,50.47,,
Cianfrone & Facaoaru (1979),C25_54,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4900,Cube,150.0,150.0,30,,,,53.25,53.25,44.20,,
Cianfrone & Facaoaru (1979),C26_125,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5040,Cube,150.0,150.0,30,,,,61.29,61.29,50.87,,
Cianfrone & Facaoaru (1979),C27_86,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5050,Cube,150.0,150.0,30,,,,47.86,47.86,39.72,,
Cianfrone & Facaoaru (1979),C28_30,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5100,Cube,150.0,150.0,30,,,,51.68,51.68,42.90,,
Cianfrone & Facaoaru (1979),C29_78,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5320,Cube,150.0,150.0,30,,,,51.68,51.68,42.90,,
Cianfrone & Facaoaru (1979),C30_62,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4930,Cube,150.0,150.0,30,,,,37.46,37.46,31.09,,
Cianfrone & Facaoaru (1979),C31_46,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5270,Cube,150.0,150.0,30,,,,50.21,50.21,41.67,,
Cianfrone & Facaoaru (1979),C32_59,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5230,Cube,150.0,150.0,30,,,,49.43,49.43,41.02,,
Cianfrone & Facaoaru (1979),C33_68,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5200,Cube,150.0,150.0,30,,,,51.68,51.68,42.90,,
Cianfrone & Facaoaru (1979),C34_94,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5260,Cube,150.0,150.0,30,,,,50.21,50.21,41.67,,
Cianfrone & Facaoaru (1979),C35_101,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4980,Cube,150.0,150.0,30,,,,46.68,46.68,38.74,,
Cianfrone & Facaoaru (1979),C36_102a,Italy,Cube - Laboratory,7,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5150,Cube,150.0,150.0,30,,,,53.64,53.64,44.52,,
Cianfrone & Facaoaru (1979),C37_102b,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5220,Cube,150.0,150.0,30,,,,60.11,60.11,49.90,,
Cianfrone & Facaoaru (1979),C38_73a,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5270,Cube,150.0,150.0,30,,,,54.03,54.03,44.85,,
Cianfrone & Facaoaru (1979),C39_74b,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5170,Cube,150.0,150.0,30,,,,53.25,53.25,44.20,,
Cianfrone & Facaoaru (1979),C40_127,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5200,Cube,150.0,150.0,30,,,,59.33,59.33,49.24,,
Cianfrone & Facaoaru (1979),C41_95,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5080,Cube,150.0,150.0,30,,,,51.68,51.68,42.90,,
Cianfrone & Facaoaru (1979),C42_92,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5140,Cube,150.0,150.0,30,,,,59.23,59.23,49.16,,
Cianfrone & Facaoaru (1979),C43_98,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5370,Cube,150.0,150.0,30,,,,63.55,63.55,52.74,,
Cianfrone & Facaoaru (1979),C44_99,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5020,Cube,150.0,150.0,30,,,,42.86,42.86,35.57,,
Cianfrone & Facaoaru (1979),C45_16a,Italy,Cube - Laboratory,1,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4410,Cube,150.0,150.0,30,,,,21.08,21.08,17.50,,
Cianfrone & Facaoaru (1979),C46_16b,Italy,Cube - Laboratory,4,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4950,Cube,150.0,150.0,30,,,,44.03,44.03,36.55,,
Cianfrone & Facaoaru (1979),C47_16c,Italy,Cube - Laboratory,7,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5010,Cube,150.0,150.0,30,,,,45.60,45.60,37.85,,
Cianfrone & Facaoaru (1979),C48_16d,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5130,Cube,150.0,150.0,30,,,,54.03,54.03,44.85,,
Cianfrone & Facaoaru (1979),C49_109,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5000,Cube,150.0,150.0,30,,,,55.51,55.51,46.07,,
Cianfrone & Facaoaru (1979),C50_107,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5050,Cube,150.0,150.0,30,,,,58.25,58.25,48.35,,
Cianfrone & Facaoaru (1979),C51_43,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5160,Cube,150.0,150.0,30,,,,70.90,70.90,59.80,,
Cianfrone & Facaoaru (1979),C52_76,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5020,Cube,150.0,150.0,30,,,,50.60,50.60,42.00,,
Cianfrone & Facaoaru (1979),C53_2,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5030,Cube,150.0,150.0,30,,,,56.68,56.68,47.05,,
Cianfrone & Facaoaru (1979),C54_20a,Italy,Cube - Laboratory,7,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4930,Cube,150.0,150.0,30,,,,44.42,44.42,36.87,,
Cianfrone & Facaoaru (1979),C55_20b,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5140,Cube,150.0,150.0,30,,,,55.11,55.11,45.74,,
Cianfrone & Facaoaru (1979),C56_89,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5000,Cube,150.0,150.0,30,,,,42.17,42.17,35.00,,
Cianfrone & Facaoaru (1979),C57_106,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5120,Cube,150.0,150.0,30,,,,51.68,51.68,42.90,,
Cianfrone & Facaoaru (1979),C58_36,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5240,Cube,150.0,150.0,30,,,,62.86,62.86,52.17,,
Cianfrone & Facaoaru (1979),C59_44,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5250,Cube,150.0,150.0,30,,,,44.42,44.42,36.87,,
Cianfrone & Facaoaru (1979),C60_82,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5220,Cube,150.0,150.0,30,,,,50.21,50.21,41.67,,
Cianfrone & Facaoaru (1979),C61_60,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5190,Cube,150.0,150.0,30,,,,58.25,58.25,48.35,,
Cianfrone & Facaoaru (1979),C62_130,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5090,Cube,150.0,150.0,30,,,,55.51,55.51,46.07,,
Cianfrone & Facaoaru (1979),C63_111,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5290,Cube,150.0,150.0,30,,,,56.29,56.29,46.72,,
Cianfrone & Facaoaru (1979),C64_6a,Italy,Cube - Laboratory,2,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4660,Cube,150.0,150.0,30,,,,24.91,24.91,20.67,,
Cianfrone & Facaoaru (1979),C65_6b,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5230,Cube,150.0,150.0,30,,,,53.25,53.25,44.20,,
Cianfrone & Facaoaru (1979),C66_114a,Italy,Cube - Laboratory,2,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4780,Cube,150.0,150.0,30,,,,35.21,35.21,29.22,,
Cianfrone & Facaoaru (1979),C67_114b,Italy,Cube - Laboratory,9,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5020,Cube,150.0,150.0,30,,,,47.07,47.07,39.07,,
Cianfrone & Facaoaru (1979),C68_114c,Italy,Cube - Laboratory,30,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5170,Cube,150.0,150.0,30,,,,49.43,49.43,41.02,,
Cianfrone & Facaoaru (1979),C69_23,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5090,Cube,150.0,150.0,30,,,,43.05,43.05,35.73,,
Cianfrone & Facaoaru (1979),C70_49,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5220,Cube,150.0,150.0,30,,,,55.51,55.51,46.07,,
Cianfrone & Facaoaru (1979),C71_29,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5050,Cube,150.0,150.0,30,,,,40.60,40.60,33.70,,
Cianfrone & Facaoaru (1979),C72_65,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4920,Cube,150.0,150.0,30,,,,34.72,34.72,28.81,,
Cianfrone & Facaoaru (1979),C73_39,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5070,Cube,150.0,150.0,30,,,,49.82,49.82,41.35,,
Cianfrone & Facaoaru (1979),C74_33a,Italy,Cube - Laboratory,7,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4800,Cube,150.0,150.0,30,,,,35.60,35.60,29.55,,
Cianfrone & Facaoaru (1979),C75_33b,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4880,Cube,150.0,150.0,30,,,,44.82,44.82,37.20,,
Cianfrone & Facaoaru (1979),C76_57,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4980,Cube,150.0,150.0,30,,,,45.99,45.99,38.17,,
Cianfrone & Facaoaru (1979),C77_115,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5120,Cube,150.0,150.0,30,,,,49.82,49.82,41.35,,
Cianfrone & Facaoaru (1979),C78_112,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5080,Cube,150.0,150.0,30,,,,57.47,57.47,47.70,,
Cianfrone & Facaoaru (1979),C79_37a,Italy,Cube - Laboratory,7,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4790,Cube,150.0,150.0,30,,,,30.30,30.30,25.15,,
Cianfrone & Facaoaru (1979),C80_37b,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5020,Cube,150.0,150.0,30,,,,40.60,40.60,33.70,,
Cianfrone & Facaoaru (1979),CM1_69,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5300,Cube,150.0,150.0,30,,,,56.29,56.29,46.72,Cubes were cast using concrete of different cement dosages and aggregate type.,
Cianfrone & Facaoaru (1979),CM2_110,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5200,Cube,150.0,150.0,30,,,,54.72,54.72,45.42,Cubes were cast using concrete of different cement dosages and aggregate type.,
Cianfrone & Facaoaru (1979),CM3_71,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4960,Cube,150.0,150.0,30,,,,32.56,32.56,27.02,Cubes were cast using concrete of different cement dosages and aggregate type.,
Cianfrone & Facaoaru (1979),CM4_116,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4120,Cube,150.0,150.0,30,,,,29.52,29.52,24.50,Cubes were cast using concrete of different cement dosages and aggregate type.,
Cianfrone & Facaoaru (1979),CM5_70,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5080,Cube,150.0,150.0,30,,,,40.99,40.99,34.02,Cubes were cast using concrete of different cement dosages and aggregate type.,
Cianfrone & Facaoaru (1979),CM6_71,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4960,Cube,150.0,150.0,30,,,,32.56,32.56,27.02,Cubes were cast using concrete of different cement dosages and aggregate type.,
Cianfrone & Facaoaru (1979),CM7_55,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5080,Cube,150.0,150.0,30,,,,44.03,44.03,36.55,Cubes were cast using concrete of different cement dosages and aggregate type.,
Cianfrone & Facaoaru (1979),CM8_72a,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4100,Cube,150.0,150.0,30,,,,20.69,20.69,17.17,Cubes were cast using concrete of different cement dosages and aggregate type.,
Cianfrone & Facaoaru (1979),CM9_72b,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4190,Cube,150.0,150.0,30,,,,27.85,27.85,23.12,Cubes were cast using concrete of different cement dosages and aggregate type.,
Cianfrone & Facaoaru (1979),CM10_79,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4100,Cube,150.0,150.0,30,,,,20.69,20.69,17.17,Cubes were cast using concrete of different cement dosages and aggregate type.,
Cianfrone & Facaoaru (1979),CM11_31,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5200,Cube,150.0,150.0,30,,,,40.21,40.21,33.37,Cubes were cast using concrete of different cement dosages and aggregate type.,
Cianfrone & Facaoaru (1979),CM12_18,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4350,Cube,150.0,150.0,30,,,,22.56,22.56,18.72,Cubes were cast using concrete of different cement dosages and aggregate type.,
Cianfrone & Facaoaru (1979),CM13_51,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4320,Cube,150.0,150.0,30,,,,12.94,12.94,10.74,Cubes were cast using concrete of different cement dosages and aggregate type.,
Cianfrone & Facaoaru (1979),CM14_-,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4160,Cube,150.0,150.0,30,,,,13.44,13.44,11.15,Cubes were cast using concrete of different cement dosages and aggregate type.,
Cianfrone & Facaoaru (1979),CM15_-,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4510,Cube,150.0,150.0,30,,,,15.40,15.40,12.78,Cubes were cast using concrete of different cement dosages and aggregate type.,
Cianfrone & Facaoaru (1979),CM16_35,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,3770,Cube,150.0,150.0,30,,,,10.69,10.69,8.87,Cubes were cast using concrete of different cement dosages and aggregate type.,
Cianfrone & Facaoaru (1979),CM17_10,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4400,Cube,150.0,150.0,30,,,,29.13,29.13,24.17,Cubes were cast using concrete of different cement dosages and aggregate type.,
Tomsett (1980),L1_M1,England,Cylinder - Laboratory,,FALSE,,,,BS 4408: Part 5 (1974),Direct,,4130,Cylinder,,,,,,,23.50,23.50,23.50,Cylinder dimensions not reported. Assumed to be 150 x 300 mm for normalization. ,
Tomsett (1980),L1_M2,England,Cylinder - Laboratory,,FALSE,,,,BS 4408: Part 5 (1974),Direct,,4290,Cylinder,,,,,,,23.50,23.50,23.50,Cylinder dimensions not reported. Assumed to be 150 x 300 mm for normalization. ,
Tomsett (1980),L1_M3,England,Cylinder - Laboratory,,FALSE,,,,BS 4408: Part 5 (1974),Direct,,4240,Cylinder,,,,,,,28.00,28.00,28.00,Cylinder dimensions not reported. Assumed to be 150 x 300 mm for normalization. ,
Tomsett (1980),L1_M4,England,Cylinder - Laboratory,,FALSE,,,,BS 4408: Part 5 (1974),Direct,,4290,Cylinder,,,,,,,29.50,29.50,29.50,Cylinder dimensions not reported. Assumed to be 150 x 300 mm for normalization. ,
Tomsett (1980),L1_M5,England,Cylinder - Laboratory,,FALSE,,,,BS 4408: Part 5 (1974),Direct,,4280,Cylinder,,,,,,,27.50,27.50,27.50,Cylinder dimensions not reported. Assumed to be 150 x 300 mm for normalization. ,
Tomsett (1980),L1_M6,England,Cylinder - Laboratory,,FALSE,,,,BS 4408: Part 5 (1974),Direct,,4400,Cylinder,,,,,,,33.00,33.00,33.00,Cylinder dimensions not reported. Assumed to be 150 x 300 mm for normalization. ,
Tomsett (1980),L1_M7,England,Cylinder - Laboratory,,FALSE,,,,BS 4408: Part 5 (1974),Direct,,4350,Cylinder,,,,,,,21.50,21.50,21.50,Cylinder dimensions not reported. Assumed to be 150 x 300 mm for normalization. ,
Tomsett (1980),L1_M8,England,Cylinder - Laboratory,,FALSE,,,,BS 4408: Part 5 (1974),Direct,,4480,Cylinder,,,,,,,35.00,35.00,35.00,Cylinder dimensions not reported. Assumed to be 150 x 300 mm for normalization. ,
Tomsett (1980),L2_M1,England,Element - Laboratory,,FALSE,,,,BS 4408: Part 5 (1974),Direct,,4360,Cylinder,,,,,,,34.00,34.00,34.00,Cylinder dimensions not reported. Assumed to be 150 x 300 mm for normalization. ,
Tomsett (1980),L2_M2,England,Element - Laboratory,,FALSE,,,,BS 4408: Part 5 (1974),Direct,,4150,Cylinder,,,,,,,29.00,29.00,29.00,Cylinder dimensions not reported. Assumed to be 150 x 300 mm for normalization. ,
Tomsett (1980),L2_M3,England,Element - Laboratory,,FALSE,,,,BS 4408: Part 5 (1974),Direct,,4090,Cylinder,,,,,,,19.00,19.00,19.00,Cylinder dimensions not reported. Assumed to be 150 x 300 mm for normalization. ,
Tomsett (1980),L2_M4,England,Element - Laboratory,,FALSE,,,,BS 4408: Part 5 (1974),Direct,,4100,Cylinder,,,,,,,22.50,22.50,22.50,Cylinder dimensions not reported. Assumed to be 150 x 300 mm for normalization. ,
Tomsett (1980),L2_M5,England,Element - Laboratory,,FALSE,,,,BS 4408: Part 5 (1974),Direct,,4180,Cylinder,,,,,,,26.00,26.00,26.00,Cylinder dimensions not reported. Assumed to be 150 x 300 mm for normalization. ,
Tomsett (1980),L2_M6,England,Element - Laboratory,,FALSE,,,,BS 4408: Part 5 (1974),Direct,,4430,Cylinder,,,,,,,36.50,36.50,36.50,Cylinder dimensions not reported. Assumed to be 150 x 300 mm for normalization. ,
Tomsett (1980),L2_M7,England,Element - Laboratory,,FALSE,,,,BS 4408: Part 5 (1974),Direct,,4400,Cylinder,,,,,,,37.00,37.00,37.00,Cylinder dimensions not reported. Assumed to be 150 x 300 mm for normalization. ,
Tomsett (1980),L2_M8,England,Element - Laboratory,,FALSE,,,,BS 4408: Part 5 (1974),Direct,,4390,Cylinder,,,,,,,38.00,38.00,38.00,Cylinder dimensions not reported. Assumed to be 150 x 300 mm for normalization. ,
Tomsett (1980),L2_M9,England,Element - Laboratory,,FALSE,,,,BS 4408: Part 5 (1974),Direct,,4080,Cylinder,,,,,,,26.50,26.50,26.50,Cylinder dimensions not reported. Assumed to be 150 x 300 mm for normalization. ,
Tomsett (1980),L3_M1,England,Element - Laboratory,,FALSE,,,,BS 4408: Part 5 (1974),Direct,,4150,Cylinder,,,,,,,18.50,18.50,18.50,Cylinder dimensions not reported. Assumed to be 150 x 300 mm for normalization. ,
Tomsett (1980),L3_M2,England,Element - Laboratory,,FALSE,,,,BS 4408: Part 5 (1974),Direct,,4150,Cylinder,,,,,,,22.00,22.00,22.00,Cylinder dimensions not reported. Assumed to be 150 x 300 mm for normalization. ,
Tomsett (1980),L3_M3,England,Element - Laboratory,,FALSE,,,,BS 4408: Part 5 (1974),Direct,,4240,Cylinder,,,,,,,28.00,28.00,28.00,Cylinder dimensions not reported. Assumed to be 150 x 300 mm for normalization. ,
Knaze & Beno (1984),A/1,Czechoslovakia,Cube - Laboratory,28,FALSE,BT-2,,,RILEM (1978),Direct,3,4072,Cube,200.0,200.0,16,0.42,,,27.75,29.14,24.18,,
Knaze & Beno (1984),A/2,Czechoslovakia,Cube - Laboratory,28,FALSE,BT-2,,,RILEM (1978),Direct,3,4086,Cube,200.0,200.0,16,0.42,,,26.25,27.56,22.88,,
Knaze & Beno (1984),A/3,Czechoslovakia,Cube - Laboratory,28,FALSE,BT-2,,,RILEM (1978),Direct,3,4175,Cube,200.0,200.0,16,0.42,,,27.25,28.61,23.75,,
Knaze & Beno (1984),D/1,Czechoslovakia,Cube - Laboratory,28,FALSE,BT-2,,,RILEM (1978),Direct,3,4158,Cube,200.0,200.0,16,0.45,,,26.00,27.30,22.66,,
Knaze & Beno (1984),D/2,Czechoslovakia,Cube - Laboratory,28,FALSE,BT-2,,,RILEM (1978),Direct,3,4184,Cube,200.0,200.0,16,0.45,,,27.75,29.14,24.18,,
Knaze & Beno (1984),D/3,Czechoslovakia,Cube - Laboratory,28,FALSE,BT-2,,,RILEM (1978),Direct,3,4189,Cube,200.0,200.0,16,0.45,,,28.25,29.66,24.62,,
Knaze & Beno (1984),E/1,Czechoslovakia,Cube - Laboratory,28,FALSE,BT-2,,,RILEM (1978),Direct,3,4255,Cube,200.0,200.0,16,0.45,,,29.25,30.71,25.49,,
Knaze & Beno (1984),E/2,Czechoslovakia,Cube - Laboratory,28,FALSE,BT-2,,,RILEM (1978),Direct,3,4210,Cube,200.0,200.0,16,0.45,,,29.25,30.71,25.49,,
